fiscal_year,Query_Run_Date,Customer,Majorcommandid,StartYearObligatedAmount,StartYearbaseandexercisedoptionsvalue,StartYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2009,59:26.2,Defense,ORG-2875,$250 thousand - <$1 million,$1 - <$5 million,$250 thousand - <$1 million,2,14,1528093.81,14
2004,59:26.2,Defense,ORG-2873,Less than $250 thousand,Zero value,Zero value,2970,3623,113203087,4050
2008,59:26.2,Defense,ORG-2872,$1 - <$5 million,Less than $250 thousand,Zero value,1,1,3794678,1
2014,59:26.2,Defense,ORG-2941,Zero value,Less than $250 thousand,$1 - <$5 million,1,2,0,2
2009,59:26.2,Defense,ORG-2937,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,3,18,29007441.47,18
2014,59:26.2,Defense,ORG-2784,Zero value,Less than $250 thousand,Less than $250 thousand,3,6,0,6
2010,59:26.2,Defense,NULL,$1 - <$5 million,$250 thousand - <$1 million,Deobligation,3,24,7223226.25,31
2013,59:26.2,Defense,NULL,$1 - <$5 million,$5 - <$25 million,$100 - <$500 million,1,1,4013594.06,1
2013,59:26.2,Defense,ORG-2942,$5 - <$25 million,$5 - <$25 million,Zero value,3,10,24734217,14
2008,59:26.2,Defense,ORG-2780,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,854,854,13659207.9,854
2011,59:26.2,Defense,ORG-2825,$250 thousand - <$1 million,Zero value,Zero value,647,2352,319322692.7,2360
2012,59:26.2,Defense,NULL,Deobligation,$100 - <$500 million,$100 - <$500 million,1,2,-3283578.41,3
2008,59:26.2,Defense,ORG-2837,Deobligation,Zero value,Zero value,126,143,-1793653.59,143
2009,59:26.2,Defense,ORG-2835,$250 thousand - <$1 million,Zero value,Zero value,207,804,108592061.9,804
2008,59:26.2,Defense,ORG-2837,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,1,3,8121945.31,3
2003,59:26.2,Defense,ORG-2877,$1 - <$5 million,$25 - <$100 million,$25 - <$100 million,1,18,3741377,19
2010,59:26.2,Defense,ORG-2877,$250 thousand - <$1 million,Less than $250 thousand,Deobligation,6,34,2014820.49,34
2010,59:26.2,Defense,ORG-2940,Less than $250 thousand,$1 - <$5 million,$5 - <$25 million,2,3,67661.79,3
2013,59:26.2,Defense,ORG-2937,Zero value,NULL,$100 - <$500 million,11,22,0,NULL
2007,59:26.2,Defense,ORG-2871,Less than $250 thousand,Zero value,Zero value,129,328,13441743,328
2009,59:26.2,Defense,ORG-2783,Zero value,Zero value,Zero value,330,403,0,403
2007,59:26.2,Defense,ORG-2871,$250 thousand - <$1 million,$250 thousand - <$1 million,$5 - <$25 million,2,6,1420920,6
2007,59:26.2,Defense,ORG-2940,$1 - <$5 million,$5 - <$25 million,$25 - <$100 million,3,16,7594460.34,16
2008,59:26.2,Defense,ORG-2941,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,6,321,1629404234,321
2007,59:26.2,Defense,ORG-2870,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,1,2,17507083,2
2014,59:26.2,Defense,ORG-4404,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,2,8,1834456.836,8
2009,59:26.2,Defense,ORG-2844,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,4478,5933,196245535.6,6223
2012,59:26.2,Defense,ORG-2871,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,1,1,0,1
2010,59:26.2,Defense,ORG-2943,Zero value,NULL,$25 - <$100 million,23,67,0,NULL
2008,59:26.2,Defense,ORG-2834,Zero value,NULL,$25 - <$100 million,5,14,0,NULL
2013,59:26.2,Defense,ORG-2941,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,7,9,727912,9
2007,59:26.2,Defense,ORG-2825,Greater than $500 million,Greater than $500 million,Greater than $500 million,1,2,980000000,2
2014,59:26.2,Defense,ORG-2834,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,3,61,32394844.59,61
2009,59:26.2,Defense,NULL,Zero value,$5 - <$25 million,$25 - <$100 million,1,1,0,1
2008,59:26.2,Defense,ORG-2836,Less than $250 thousand,Less than $250 thousand,Zero value,46,71,1774005.02,71
2007,59:26.2,Defense,ORG-2936,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,1,1,100000,1
2012,59:26.2,Defense,ORG-2878,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,17,95,40971741.36,95
2011,59:26.2,Defense,ORG-2945,Less than $250 thousand,Less than $250 thousand,Deobligation,3,6,320196.8,6
2012,59:26.2,Defense,ORG-2943,Zero value,NULL,Greater than $500 million,9,42,0,NULL
2003,59:26.2,Defense,ORG-2876,Less than $250 thousand,Zero value,$1 - <$5 million,1,1,2400,2
2008,59:26.2,Defense,ORG-2940,Zero value,NULL,$1 - <$5 million,312,651,0,NULL
2003,59:26.2,Defense,ORG-2876,Less than $250 thousand,Zero value,Zero value,60155,74434,1994354304,77858
2009,59:26.2,Defense,ORG-2880,Zero value,Zero value,Zero value,81,121,0,121
2012,59:26.2,Defense,ORG-2777,Deobligation,Deobligation,Deobligation,246,297,-3605023.67,297
2008,59:26.2,Defense,ORG-2825,Zero value,$5 - <$25 million,Zero value,1,1,0,1
2007,59:26.2,Defense,ORG-2825,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,18,56,12552888.44,58
2009,59:26.2,Defense,ORG-2877,$1 - <$5 million,$5 - <$25 million,$100 - <$500 million,1,6,4215948.08,6
2010,59:26.2,Defense,NULL,Zero value,NULL,$100 - <$500 million,36,230,0,NULL
2008,59:26.2,Defense,ORG-2843,$250 thousand - <$1 million,Less than $250 thousand,Deobligation,1,11,384311,11
2012,59:26.2,Defense,ORG-2872,Less than $250 thousand,Deobligation,Deobligation,42,102,1926737.73,102
2007,59:26.2,Defense,ORG-2825,Less than $250 thousand,Less than $250 thousand,Zero value,28,43,926076.91,43
2009,59:26.2,Defense,NULL,$5 - <$25 million,$25 - <$100 million,$100 - <$500 million,2,12,44965264.18,12
2013,59:26.2,Defense,ORG-2834,$1 - <$5 million,$5 - <$25 million,$25 - <$100 million,1,1,1945346.938,3
2012,59:26.2,Defense,ORG-3960,Deobligation,Deobligation,Deobligation,142,280,-47493119.53,280
2010,59:26.2,Defense,ORG-2941,$25 - <$100 million,$100 - <$500 million,Greater than $500 million,3,46,191967026,46
2012,59:26.2,Defense,ORG-2842,Zero value,Deobligation,Deobligation,1,1,0,1
2011,59:26.2,Defense,ORG-2790,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,252,269,556319714.2,320
2009,59:26.2,Defense,ORG-2882,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,2,14,2423099.89,14
2005,59:26.2,Defense,ORG-2937,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,1,10,2448689.02,10
2007,59:26.2,Defense,ORG-2936,$5 - <$25 million,$100 - <$500 million,$100 - <$500 million,1,14,5828040.35,17
2008,59:26.2,Defense,ORG-2877,Deobligation,Deobligation,Zero value,1,3,-177.07,3
2007,59:26.2,Defense,ORG-2880,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,4,5,816024,5
2006,59:26.2,Defense,ORG-2872,Zero value,Less than $250 thousand,$250 thousand - <$1 million,8,9,0,9
2014,59:26.2,Defense,ORG-2941,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,13,65,29679632.2,65
2005,59:26.2,Defense,ORG-2937,Zero value,NULL,Greater than $500 million,1,1,0,NULL
2011,59:26.2,Defense,ORG-2944,$250 thousand - <$1 million,Zero value,Zero value,74,262,37384962.75,270
2005,59:26.2,Defense,ORG-2791,$100 - <$500 million,Zero value,Zero value,1,33,134892632,33
2010,59:26.2,Defense,ORG-2825,Zero value,$5 - <$25 million,$5 - <$25 million,8,11,0,16
2010,59:26.2,Defense,ORG-2936,$25 - <$100 million,$5 - <$25 million,$5 - <$25 million,4,50,185262844.5,50
2006,59:26.2,Defense,ORG-2844,Less than $250 thousand,Less than $250 thousand,$25 - <$100 million,1,4,75000,4
2009,59:26.2,Defense,ORG-2875,Zero value,NULL,$5 - <$25 million,170,232,0,NULL
2010,59:26.2,Defense,ORG-2774,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,2,6,1204135.77,6
2006,59:26.2,Defense,ORG-2845,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,2,5,4373052,5
2010,59:26.2,Defense,ORG-2837,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,3,11,1599046.62,11
2008,59:26.2,Defense,ORG-2845,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,1325,1664,64705668.6,1665
2005,59:26.2,Defense,ORG-2874,$5 - <$25 million,Zero value,Zero value,77,77,883108922,7823
2010,59:26.2,Defense,NULL,Zero value,Less than $250 thousand,$1 - <$5 million,1,1,0,1
2002,59:26.2,Defense,ORG-2872,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,3,3,5598730,3
2008,59:26.2,Defense,ORG-2943,Greater than $500 million,Greater than $500 million,Greater than $500 million,8,47,5588261553,47
2014,59:26.2,Defense,ORG-2783,Zero value,Zero value,Deobligation,2,3,0,3
2005,59:26.2,Defense,ORG-2876,$250 thousand - <$1 million,$250 thousand - <$1 million,$5 - <$25 million,2,4,1532846,4
2008,59:26.2,Defense,ORG-2945,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,4,16,6591096,16
2010,59:26.2,Defense,ORG-4955,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,1,1,122402.82,1
2013,59:26.2,Defense,ORG-2825,Less than $250 thousand,$250 thousand - <$1 million,Zero value,5,17,988899.9765,18
2006,59:26.2,Defense,ORG-2872,Zero value,Deobligation,Deobligation,5,5,0,5
2011,59:26.2,Defense,ORG-2936,$25 - <$100 million,$5 - <$25 million,Deobligation,1,23,29995343.05,53
2008,59:26.2,Defense,ORG-2875,Less than $250 thousand,Zero value,Less than $250 thousand,4,11,238934,11
2005,59:26.2,Defense,ORG-2936,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,1,1,266000,1
2012,59:26.2,Defense,ORG-2942,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,3,8,2104099,8
2013,59:26.2,Defense,NULL,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,12,197,2425068538,228
2009,59:26.2,Defense,ORG-2787,$250 thousand - <$1 million,$250 thousand - <$1 million,$25 - <$100 million,1,1,470010,1
2013,59:26.2,Defense,ORG-2936,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,10,73,117815221.5,73
2011,59:26.2,Defense,ORG-2838,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,118,210,58421228.67,693
2011,59:26.2,Defense,ORG-2943,$5 - <$25 million,$5 - <$25 million,Less than $250 thousand,1,3,5599643.16,3
2011,59:26.2,Defense,ORG-2783,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,1,2,616685.55,2
2013,59:26.2,Defense,ORG-2872,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,52,83,659007.6403,83
2009,59:26.2,Defense,ORG-2944,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,10,62,16912029.14,62
2007,59:26.2,Defense,ORG-2937,Less than $250 thousand,$1 - <$5 million,$5 - <$25 million,47,68,2637407.54,68
2014,59:26.2,Defense,ORG-2834,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,12,32,5865944.312,34
2011,59:26.2,Defense,ORG-2945,Less than $250 thousand,$1 - <$5 million,$5 - <$25 million,2,3,415000,3
2010,59:26.2,Defense,ORG-2844,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,447,855,211214419.9,1124
2007,59:26.2,Defense,ORG-2880,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,6,16,16201948.6,16
2010,59:26.2,Defense,ORG-2825,$1 - <$5 million,$1 - <$5 million,$25 - <$100 million,6,19,20888306.46,24
2010,59:26.2,Defense,ORG-2937,Deobligation,Zero value,Zero value,701,802,-25671259.97,807
2011,59:26.2,Defense,ORG-2844,Zero value,Less than $250 thousand,Zero value,1,2,0,2
2010,59:26.2,Defense,ORG-2872,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,12,41,153507712.5,41
2003,59:26.2,Defense,ORG-2834,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,2,4,5628829,4
2006,59:26.2,Defense,ORG-2940,Deobligation,Less than $250 thousand,Less than $250 thousand,9,31,-345712.18,31
2006,59:26.2,Defense,ORG-2882,$5 - <$25 million,$25 - <$100 million,$25 - <$100 million,1,10,10718653,10
2009,59:26.2,Defense,ORG-2825,Zero value,Zero value,Zero value,5453,7893,0,7963
2003,59:26.2,Defense,ORG-2834,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,1,6,1274963,6
2013,59:26.2,Defense,ORG-4955,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,2,10,1071280,10
2012,59:26.2,Defense,NULL,$5 - <$25 million,$25 - <$100 million,Zero value,1,5,6916368,5
2009,59:26.2,Defense,ORG-2940,$250 thousand - <$1 million,$25 - <$100 million,$25 - <$100 million,3,4,1519805.69,4
2006,59:26.2,Defense,ORG-2936,Zero value,Less than $250 thousand,$250 thousand - <$1 million,4,4,0,4
2011,59:26.2,Defense,ORG-2882,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,1,3,5041234.94,3
2013,59:26.2,Defense,ORG-2872,Zero value,NULL,$5 - <$25 million,290,381,0,NULL
2002,59:26.2,Defense,ORG-2940,Zero value,Zero value,$1 - <$5 million,42,42,0,42
2012,59:26.2,Defense,ORG-2945,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,67,91,8902651.6,91
2012,59:26.2,Defense,ORG-2936,Deobligation,$25 - <$100 million,$25 - <$100 million,1,10,-13125023,10
2014,59:26.2,Defense,ORG-2936,$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,12,122,2581775325,125
2006,59:26.2,Defense,ORG-2876,Deobligation,Less than $250 thousand,Less than $250 thousand,73,128,-12609162.72,128
2014,59:26.2,Defense,ORG-2834,Less than $250 thousand,Less than $250 thousand,Deobligation,49,180,3148184.498,180
2010,59:26.2,Defense,ORG-4955,$250 thousand - <$1 million,$1 - <$5 million,Deobligation,1,2,291495.13,2
2014,59:26.2,Defense,ORG-2939,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,1,5,8746785,5
2012,59:26.2,Defense,ORG-2825,$5 - <$25 million,Deobligation,$25 - <$100 million,1,4,13469662,5
2001,59:26.2,Defense,ORG-2861,$25 - <$100 million,$100 - <$500 million,$100 - <$500 million,1,8,53563338,8
2012,59:26.2,Defense,ORG-2825,$1 - <$5 million,$250 thousand - <$1 million,Zero value,1,6,1225097,6
2010,59:26.2,Defense,ORG-2784,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,387,542,166165319.9,542
2009,59:26.2,Defense,ORG-2937,Less than $250 thousand,$1 - <$5 million,Less than $250 thousand,1,4,195000,4
2001,59:26.2,Defense,ORG-2873,Zero value,Zero value,Zero value,3,6,0,6
2009,59:26.2,Defense,ORG-2791,Zero value,Less than $250 thousand,Zero value,1,1,0,1
2013,59:26.2,Defense,ORG-3960,$250 thousand - <$1 million,Less than $250 thousand,Deobligation,1,3,637618.75,3
2014,59:26.2,Defense,ORG-4894,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,5,37,48160087.38,37
2009,59:26.2,Defense,ORG-2937,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,98,309,1045417356,3422
2013,59:26.2,Defense,ORG-2839,Deobligation,Deobligation,Deobligation,20,21,-807651.153,21
2014,59:26.2,Defense,ORG-2843,Zero value,$250 thousand - <$1 million,$1 - <$5 million,7,7,0,7
2011,59:26.2,Defense,ORG-2845,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,5,16,2229173.65,16
2009,59:26.2,Defense,ORG-2940,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,2,5,413201.07,5
2013,59:26.2,Defense,ORG-2936,$1 - <$5 million,$1 - <$5 million,Deobligation,16,69,42237343.81,69
2014,59:26.2,Defense,ORG-2791,Zero value,Zero value,Zero value,98,134,0,134
2005,59:26.2,Defense,ORG-2940,Zero value,NULL,$5 - <$25 million,17,19,0,NULL
2001,59:26.2,Defense,ORG-2936,$100 - <$500 million,Zero value,Zero value,8,54,1570948353,56
2012,59:26.2,Defense,ORG-2939,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,2,20,29753672.89,20
2011,59:26.2,Defense,ORG-2940,$1 - <$5 million,Deobligation,Deobligation,1,6,3705763.77,6
2013,59:26.2,Defense,ORG-2937,Less than $250 thousand,$1 - <$5 million,Zero value,2,2,309038,2
2006,59:26.2,Defense,ORG-2944,$250 thousand - <$1 million,$5 - <$25 million,$25 - <$100 million,1,1,981086,3
2009,59:26.2,Defense,ORG-2940,Zero value,$1 - <$5 million,Zero value,2,2,0,2
2009,59:26.2,Defense,ORG-4955,Less than $250 thousand,Less than $250 thousand,Zero value,44,70,2093109.22,70
2002,59:26.2,Defense,NULL,Less than $250 thousand,Zero value,$250 thousand - <$1 million,1,1,64400,2
2006,59:26.2,Defense,ORG-2872,Deobligation,Deobligation,Less than $250 thousand,2,5,-2029,5
2014,59:26.2,Defense,ORG-4793,Zero value,NULL,Deobligation,1,2,0,NULL
2010,59:26.2,Defense,ORG-2875,$1 - <$5 million,$250 thousand - <$1 million,Deobligation,1,6,1643440.77,6
2011,59:26.2,Defense,ORG-2944,$250 thousand - <$1 million,$1 - <$5 million,Less than $250 thousand,1,7,646550,7
2013,59:26.2,Defense,ORG-2941,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,9,12,1105271,12
2014,59:26.2,Defense,ORG-2942,$100 - <$500 million,$100 - <$500 million,Deobligation,1,13,295498731,21
2002,59:26.2,Defense,NULL,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,291,342,8347377.13,346
2005,59:26.2,Defense,ORG-2876,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,1,13,16140228,13
2008,59:26.2,Defense,ORG-2940,Zero value,$1 - <$5 million,$5 - <$25 million,5,12,0,12
2008,59:26.2,Defense,ORG-2783,Zero value,NULL,$1 - <$5 million,42,42,0,NULL
2003,59:26.2,Defense,ORG-2940,$25 - <$100 million,Zero value,Zero value,22,159,885602768,160
2007,59:26.2,Defense,ORG-2869,$5 - <$25 million,$250 thousand - <$1 million,$250 thousand - <$1 million,1,1,5664625,1
2007,59:26.2,Defense,NULL,$5 - <$25 million,$25 - <$100 million,$25 - <$100 million,13,103,232689394.2,103
2009,59:26.2,Defense,ORG-2841,Zero value,NULL,Less than $250 thousand,1,3,0,NULL
2006,59:26.2,Defense,ORG-2871,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,3,6,24806095,8
2001,59:26.2,Defense,ORG-2872,$25 - <$100 million,Zero value,Zero value,23,393,1017513601,393
2009,59:26.2,Defense,ORG-2877,Zero value,$250 thousand - <$1 million,Zero value,5,9,0,9
2005,59:26.2,Defense,ORG-2825,$25 - <$100 million,$100 - <$500 million,$100 - <$500 million,2,12,60666556,12
2008,59:26.2,Defense,ORG-2941,Less than $250 thousand,$1 - <$5 million,Less than $250 thousand,1,5,93696,5
2008,59:26.2,Defense,ORG-2773,$250 thousand - <$1 million,Less than $250 thousand,Zero value,1,4,430648,4
2010,59:26.2,Defense,ORG-2839,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,1,6,555514.56,6
2005,59:26.2,Defense,ORG-2841,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,1,1,89000,1
2001,59:26.2,Defense,ORG-2861,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,1,1,1316242,1
2010,59:26.2,Defense,ORG-2825,Less than $250 thousand,Less than $250 thousand,Zero value,300,487,17894105.01,495
2012,59:26.2,Defense,ORG-2787,Deobligation,Deobligation,Deobligation,1380,1653,-59612360.3,1657
2003,59:26.2,Defense,ORG-2879,Zero value,NULL,$25 - <$100 million,1,1,0,NULL
2011,59:26.2,Defense,ORG-2825,Deobligation,Less than $250 thousand,Deobligation,2,4,-29327.36,5
2006,59:26.2,Defense,ORG-2880,$5 - <$25 million,$25 - <$100 million,$25 - <$100 million,1,1,9000000,1
2006,59:26.2,Defense,ORG-2937,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,111,133,0,133
2005,59:26.2,Defense,ORG-2842,Deobligation,Zero value,Zero value,59,74,-908479,74
2003,59:26.2,Defense,NULL,Zero value,$5 - <$25 million,$5 - <$25 million,3,3,0,3
2002,59:26.2,Defense,ORG-2855,Deobligation,Zero value,Zero value,46,84,-9744859,84
2010,59:26.2,Defense,ORG-2836,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,4,16,469158.31,16
2009,59:26.2,Defense,ORG-2835,$1 - <$5 million,$250 thousand - <$1 million,Less than $250 thousand,2,8,2297923,8
2009,59:26.2,Defense,ORG-2845,Zero value,Zero value,Less than $250 thousand,1,1,0,1
2005,59:26.2,Defense,ORG-2845,$25 - <$100 million,Zero value,Zero value,4,40,183944352,40
2010,59:26.2,Defense,ORG-2941,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,40,1782,1905417096,2230
2008,59:26.2,Defense,ORG-2937,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,634,1442,1253450621,2744
2006,59:26.2,Defense,ORG-2936,Zero value,NULL,$1 - <$5 million,14,21,0,NULL
2009,59:26.2,Defense,ORG-2836,Less than $250 thousand,Less than $250 thousand,Deobligation,30,88,1815987.46,90
2010,59:26.2,Defense,ORG-2845,Less than $250 thousand,Zero value,Deobligation,1,3,32198.19,3
2014,59:26.2,Defense,ORG-2936,$100 - <$500 million,$100 - <$500 million,$25 - <$100 million,2,25,294287092,25
2006,59:26.2,Defense,ORG-2882,Zero value,$250 thousand - <$1 million,Zero value,1,1,0,1
2013,59:26.2,Defense,ORG-2843,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,292,593,139721910.3,1295
2006,59:26.2,Defense,ORG-2773,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,1,5,1276604,7
2014,59:26.2,Defense,ORG-2835,Zero value,NULL,$100 - <$500 million,6,13,0,NULL
2006,59:26.2,Defense,ORG-2936,$1 - <$5 million,Zero value,$5 - <$25 million,1,1,1319076,1
2013,59:26.2,Defense,ORG-2825,Deobligation,Less than $250 thousand,Less than $250 thousand,9,12,-838121.243,17
2014,59:26.2,Defense,ORG-2843,$250 thousand - <$1 million,$1 - <$5 million,Zero value,1,1,574621.9375,1
2013,59:26.2,Defense,ORG-2941,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,3,25,27172328,25
2006,59:26.2,Defense,ORG-2876,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,89,101,0,101
2013,59:26.2,Defense,ORG-2940,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,1,3,6320067,3
2006,59:26.2,Defense,ORG-2872,Zero value,$1 - <$5 million,$5 - <$25 million,2,2,0,2
2009,59:26.2,Defense,ORG-2945,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,280,490,129400610.8,491
2003,59:26.2,Defense,ORG-2941,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,21,22,631776,22
2012,59:26.2,Defense,ORG-2937,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,40,128,20840853.5,128
2010,59:26.2,Defense,ORG-2941,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,3,3,300000,3
2005,59:26.2,Defense,ORG-2872,$100 - <$500 million,Zero value,Zero value,7,17,1153920480,17
2014,59:26.2,Defense,ORG-2825,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,148,368,92053923.26,390
2010,59:26.2,Defense,ORG-2787,Less than $250 thousand,Zero value,Zero value,4,5,267354.25,5
2014,59:26.2,Defense,ORG-2837,Less than $250 thousand,$250 thousand - <$1 million,Less than $250 thousand,2,8,389892.0196,8
2006,59:26.2,Defense,ORG-2882,$250 thousand - <$1 million,Zero value,Zero value,211,487,103102214.9,616
2006,59:26.2,Defense,ORG-2781,$25 - <$100 million,Zero value,Zero value,4,4,190963472,4
2006,59:26.2,Defense,ORG-2842,Zero value,NULL,Zero value,7,7,0,NULL
2012,59:26.2,Defense,ORG-2880,Zero value,Less than $250 thousand,Less than $250 thousand,2,5,0,5
2014,59:26.2,Defense,ORG-2787,Zero value,NULL,$100 - <$500 million,11,20,0,NULL
2011,59:26.2,Defense,ORG-2877,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,137,440,377657317.5,447
2003,59:26.2,Defense,ORG-2877,Zero value,NULL,$25 - <$100 million,19,19,0,NULL
2007,59:26.2,Defense,ORG-2945,$1 - <$5 million,$1 - <$5 million,Zero value,13,90,26331042.51,90
2006,59:26.2,Defense,ORG-2843,$1 - <$5 million,Zero value,Less than $250 thousand,1,8,1154677,8
2014,59:26.2,Defense,ORG-2882,Deobligation,Zero value,Zero value,72,82,-3852660.947,82
2007,59:26.2,Defense,ORG-2834,$25 - <$100 million,$1 - <$5 million,$1 - <$5 million,1,17,33140674,17
2012,59:26.2,Defense,ORG-2945,Zero value,NULL,$25 - <$100 million,2,5,0,NULL
2014,59:26.2,Defense,ORG-2837,Zero value,NULL,Deobligation,1,2,0,NULL
2012,59:26.2,Defense,ORG-2775,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,138,350,311115581.7,350
2013,59:26.2,Defense,ORG-2937,Zero value,NULL,Greater than $500 million,1,1,0,NULL
2009,59:26.2,Defense,ORG-2882,$25 - <$100 million,$25 - <$100 million,$100 - <$500 million,2,10,72618553.56,10
2010,59:26.2,Defense,ORG-2940,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,2,5,6571547.41,5
2008,59:26.2,Defense,ORG-2843,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,8,25,23204205.48,25
2011,59:26.2,Defense,ORG-2943,Zero value,NULL,Zero value,286,462,0,NULL
2005,59:26.2,Defense,ORG-2784,Zero value,NULL,$5 - <$25 million,2,2,0,NULL
2009,59:26.2,Defense,ORG-2875,Zero value,NULL,Zero value,247,454,0,NULL
2013,59:26.2,Defense,NULL,Deobligation,$1 - <$5 million,$1 - <$5 million,3,3,-149666.0801,3
2011,59:26.2,Defense,ORG-2939,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,3,75,157037717.5,75
2006,59:26.2,Defense,ORG-2876,Zero value,$1 - <$5 million,Deobligation,1,3,0,3
2012,59:26.2,Defense,ORG-2875,Zero value,$250 thousand - <$1 million,Zero value,3,6,0,6
2005,59:26.2,Defense,ORG-2877,$1 - <$5 million,$25 - <$100 million,$25 - <$100 million,2,8,6248424.48,10
2014,59:26.2,Defense,ORG-2880,$25 - <$100 million,Zero value,Zero value,1,1,40172879,1
2010,59:26.2,Defense,ORG-2943,Deobligation,Deobligation,Deobligation,1445,1850,-179348397.6,1858
2005,59:26.2,Defense,NULL,$1 - <$5 million,Deobligation,Deobligation,1,2,3425766,2
2008,59:26.2,Defense,ORG-2939,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,2,3,0,3
2006,59:26.2,Defense,ORG-2834,$250 thousand - <$1 million,$25 - <$100 million,Greater than $500 million,1,1,776454,6
2008,59:26.2,Defense,ORG-2882,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,4,5,0,5
